Date,Close,High,Low,Open,Volume
,TCS.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS
2018-11-20,1678.462646484375,1699.6863855255058,1674.8433968240818,1699.6863855255058,1190182
2018-11-21,1619.2598876953125,1672.0288586852864,1607.240590551782,1671.9841334867162,3840461
2018-11-22,1619.751220703125,1651.072927757905,1617.4276923926207,1626.408729284819,3194219
2018-11-26,1649.7322998046875,1662.1537935196607,1594.684647599911,1625.5149195764852,4333177
2018-11-27,1689.1861572265625,1696.0224568391425,1640.1257888775956,1656.7920304182235,3344839
2018-11-28,1772.875244140625,1777.4327421751848,1682.2610040949148,1688.0696078275134,5313249
2018-11-29,1752.0089111328125,1784.5817287977593,1735.923547528226,1784.5817287977593,4035441
2018-11-30,1758.8897705078125,1779.2198821699758,1751.3832459230746,1756.8791001236425,5268901
2018-12-03,1771.534912109375,1778.3264889434433,1758.9347311656923,1772.9647005345687,1610576
2018-12-04,1796.95849609375,1804.599087420927,1761.3473102431433,1772.070885952386,3270615
2018-12-05,1793.2945556640625,1803.3479074773031,1773.8580754917973,1792.6243322098464,2501539
2018-12-06,1780.7388916015625,1802.4541739202134,1769.032344416076,1785.475180710256,2321216
2018-12-07,1782.9727783203125,1790.7474345652179,1763.134210964572,1773.9025096633356,1680420
2018-12-10,1765.636474609375,1797.092247540646,1751.5170587666166,1764.9215260530957,2010786
2018-12-11,1787.262451171875,1796.1987634277345,1752.4108333740235,1760.453514404297,2942014
2018-12-12,1802.2755126953125,1806.922351468312,1773.813270681699,1788.2454368985775,2219993
2018-12-13,1771.712890625,1813.802891089701,1764.474500966939,1808.7092377599822,3748429
2018-12-14,1778.1025390625,1786.3239018155907,1765.144887691018,1772.0705289412929,2473761
2018-12-17,1782.168701171875,1791.6411698375325,1773.8578875856276,1786.3687240723777,1227921
2018-12-18,1776.4049072265625,1789.049811578113,1766.1728727677105,1780.024157522686,1768742
2018-12-19,1759.0682373046875,1773.679194239009,1751.5618227267832,1773.679194239009,2498833
2018-12-20,1746.1998291015625,1764.832015020634,1739.0060553820197,1745.976421334941,1940277
2018-12-21,1694.1458740234375,1742.5806357520614,1685.879786392306,1740.7933735615466,3729956
2018-12-24,1714.4315185546875,1732.6616175042593,1702.36749692295,1703.082445542872,1864116
2018-12-26,1688.248046875,1717.3805117376837,1671.3137789937998,1717.3805117376837,2446614
2018-12-27,1705.8973388671875,1735.1637624387452,1672.9670489710163,1705.9420640642309,4968201
2018-12-28,1694.3695068359375,1715.7719307755985,1691.6438879990667,1711.3037747058704,2239130
2018-12-31,1691.6884765625,1705.9418496394023,1685.5223998671186,1705.048218497632,1879740
2019-01-01,1700.4013671875,1706.835467724695,1684.4946893513352,1694.3246318356134,1094883
2019-01-02,1718.7208251953125,1728.6847251956133,1697.8991758778457,1702.3673316038398,2100463
2019-01-03,1697.854248046875,1738.067644781344,1691.7328972500145,1714.8779629654616,2611668
